id_techo;tipo_edificio;tipo_techo;edificio;tipo_sistema;capacidad;caracteristicas;generacion_anual_de_energia;huella_de_carbono_anual_evidata;calle;barrio;comuna
390;Privado;Solar Fotovoltaico;PM-YPF-A02-BS;Off-Grid;3300 Wp;Sistema de bombeo solar. 10 módulos fotovoltaicos Risen de silicio policristalino, de 72 celdas, con 330 Wp de potencia cada uno. Bombas Rison modelo SQB3.0/50-D48/450 (para caudal menores o iguales a 6400 litros de agua/día), Grundfos modelo CRF 1-4 (para caudales entre 6000 y 8000 litros por día) y Grundfos modelo CRF 3-4 (para caudales mayores);5120;2.37;;;
391;Privado;Solar Fotovoltaico;PM-YPF-A03-BS;Off-Grid;3300 Wp;Sistema de bombeo solar. 10 módulos fotovoltaicos Risen de silicio policristalino, de 72 celdas, con 330 Wp de potencia cada uno. Bombas Rison modelo SQB3.0/50-D48/450 (para caudal menores o iguales a 6400 litros de agua/día), Grundfos modelo CRF 1-4 (para caudales entre 6000 y 8000 litros por día) y Grundfos modelo CRF 3-4 (para caudales mayores);5120;2.37;;;
392;Privado;Solar Fotovoltaico;PM-YPF-A04-BS;Off-Grid;;;5120;2.37;;;
393;Privado;Solar Fotovoltaico;PM-YPF-A05-BS;Off-Grid;;;5120;2.37;;;
394;Privado;Solar Fotovoltaico;PM-YPF-A06-BS;Off-Grid;;;5120;2.37;;;
395;Privado;Solar Fotovoltaico;PM-YPF-B01-BS;Off-Grid;2000 Wp;Sistema de bombeo solar. 6 módulos fotovoltaicos Risen de silicio policristalino, de 72 celdas, con 330 Wp de potencia cada uno. Bombas Rison modelo SQB3.0/50-D48/450 (para caudal menores o iguales a 6400 litros de agua/día), Grundfos modelo CRF 1-4 (para caudales entre 6000 y 8000 litros por día) y Grundfos modelo CRF 3-4 (para caudales mayores);3100;1.43;;;
396;Privado;Solar Fotovoltaico;PM-YPF-B02-BS;Off-Grid;2000 Wp;Sistema de bombeo solar. 6 módulos fotovoltaicos Risen de silicio policristalino, de 72 celdas, con 330 Wp de potencia cada uno. Bombas Rison modelo SQB3.0/50-D48/450 (para caudal menores o iguales a 6400 litros de agua/día), Grundfos modelo CRF 1-4 (para caudales entre 6000 y 8000 litros por día) y Grundfos modelo CRF 3-4 (para caudales mayores);3100;1.43;;;
397;Privado;Solar Fotovoltaico;PM-YPF-B03-BS;Off-Grid;;;3570;1.65;;;
398;Privado;Solar Fotovoltaico;PM-YPF-B04-BS;Off-Grid;;;2480;1.15;;;
399;Privado;Solar Fotovoltaico;PM-YPF-C01-BS;Off-Grid;2300 Wp;Sistema de bombeo solar. 7 módulos fotovoltaicos Risen de silicio policristalino, de 72 celdas, con 330 Wp de potencia cada uno. Bombas Rison modelo SQB3.0/50-D48/450 (para caudal menores o iguales a 6400 litros de agua/día), Grundfos modelo CRF 1-4 (para caudales entre 6000 y 8000 litros por día) y Grundfos modelo CRF 3-4 (para caudales mayores);3570;1.65;;;
