id_techo;tipo_edificio;tipo_techo;edificio;tipo_sistema;capacidad;caracteristicas;generacion_anual_de_energia;huella_de_carbono_anual_evidata;calle;barrio;comuna
478;Privado;Solar Fotovoltaico;Particular 40;On-Grid;6600 Watts;Sobre el techo del domicilio se realizó la instalación de 12 paneles de Silicio monocristalinos de una potencia c/u de 550 Watts conectados a un inversor Ongrid el cual está conectado a la red siendo usuario generador aportando el excedente producido a la red eléctrica publica.;10240;3.52;Heredia;VILLA ORTUZAR;Comuna 15
479;Privado;Solar Térmico;Particular 41;;200 litros;Sobre el techo del domicilio se encuentra instalado un sistema solar térmico de tubos evacuados  de la marca Sungreen con resistencia eléctrica.;3820;1.31;Pje Bollini;RECOLETA;Comuna 2
480;Privado;Solar Térmico;Particular 42;;200 litros;Sobre el techo del domicilio se encuentra instalado un sistema solar térmico de tubos de vacio evacuados de la marca Sungreen.;3820;1.31;Pje. Inca;ALMAGRO;Comuna 5
481;Privado;Solar Térmico;Particular 43;;200 litros;Sobre el techo de losa del domicilio particular se encuentra instalado un Sistema Solar Térmico de tubos evacuados de la marca Sungreen;3820;1.31;Remedios de Escalada de San Martín;VILLA CRESPO;Comuna 15
482;Privado;Solar Fotovoltaico;Particular 44;On-Grid;1500 Watts;La instalación solar fotovoltaicas está instalada sobre una estructura metálica dándoles la inclinación deseada para su eficiencia. Se compone de 4 paneles solares de 375 Watts cada uno de Silicio Monocristalinos.;2330;0.8;Cap. Gral. Ramón Freire;SAAVEDRA;Comuna 12
483;Privado;Solar Fotovoltaico;Particular 45;On-Grid;1680 Watts;Sobre el techo del domicilio se disponen de 6 paneles solares de Silicio policristalinos con una potencia c/u de 280 Watts conectados a un inversor On Grid Growatt de 1500-S;2610;0.9;Chivilcoy;MONTE CASTRO;Comuna 10
484;Privado;Solar Fotovoltaico;Particular 46;On-Grid;1710 Watts;La instalación se compone de 6 paneles de silicio policristalinos de 285 Watts cada uno ubicados sobre  el techo conectados a un inversor Hibrido Growatt SPH-3000 que a su vez alimenta 4 baterias de 110 Ah.;2650;0.91;Ceretti;VILLA URQUIZA;Comuna 12
485;Privado;Solar Fotovoltaico;Particular 47;On-Grid;3600 Watts;Sobre uno de los techos del domicilio se dispone de un sistema solar fotovoltaico de 8 paneles de 450 Watts monocristalinos en conexión con un inversor Hibrido Growatt SPF-5000 alimentando a su vez 3 baterías de 48V.;5580;1.92;Pareja;VILLA DEVOTO;Comuna 11
486;Privado;Solar Fotovoltaico;Particular 48;On-Grid;1360 Watts;La instalación solar fotovoltaica posee 4 paneles solares de silicio policristalino de 340 Watts conectados a un inversor/cargador Voltronic de 5 kW que a su vez carga 1 bateria de Pylontech (LiFePo) de 48 V 35 Ah.;2110;0.72;Uriarte;PALERMO;Comuna 14
487;Privado;Solar Fotovoltaico;Particular 49;On-Grid;1320 Watts;La instalación solar fotovoltaica posee 5 paneles solares de silicio policristalino de 330 Watts conectados a un inversor/cargador Voltronic de 5 kW que a su vez carga 1 bateria de Pylontech (LiFePo) de 48 V 35 Ah.;2050;0.7;Palestina;ALMAGRO;Comuna 5
488;Privado;Solar Fotovoltaico;Particular 50;On-Grid;1780 Watts;La instalación solar fotovoltaica posee 4 paneles solares de silicio monocristalino PERC de 445 Watts de la marca Amerisolar conectados a un inversor/cargador Voltronic de 5 kW que a su vez carga 2 baterias Pylontech (LiFePo) de 48 V 35 Ah.;2760;0.95;Laguna;PARQUE AVELLANEDA;Comuna 9
489;Privado;Solar Fotovoltaico;Particular 51;On-Grid;3000 Watts;La instalación solar fotovoltaica dispone de 8 paneles solares de 375 Watts de Silicio Policristalino conectados a un inversor On-Grid Growatt 3000-S.;4650;1.6;Leipzig;MONTE CASTRO;Comuna 10
490;Privado;Solar Fotovoltaico;Particular 52;On-Grid;3000 Watts;La instalación solar fotovoltaica dispone de 12 paneles solares de silicio policristalino ubicados de manera coplanar sobre techo de chapa. Estan conectados a un inversor Growatt 3000-S.;4650;1.6;Pichincha;SAN CRISTOBAL;Comuna 3
491;Privado;Solar Fotovoltaico;Particular 53;On-Grid;3000 Watts;La instalación solar fotovoltaica dispone de 9 paneles de silicio policristalinos de 330 Watts ubicados de manera coplanar sobre techo de chapa. Estan conectados a un inversor Ongrid Growatt 3000-S.;4650;1.6;Palpa;COLEGIALES;Comuna 13
492;Privado;Solar Fotovoltaico;PH ECO 2;On-Grid;3000 Watts;En la terraza del complejo habitacional dispone de una instalación solar fotovoltaica de unos 8 paneles de silicio policristalino de 375 Watts ubicados en la terraza del mismo;4650;1.6;Espinosa;CABALLITO;Comuna 6
493;Privado;Solar Fotovoltaico;LAQI S.A;On-Grid;23200 Watts;La empresa fabricante de colorantes para la industria alimenticia posee una instalación solar fotovoltaica la cual aporta al ahorro energético de la misma y siendo Usuario Generador puede inyectar el excedente a la red pública cuando no se utiliza, gracias la ley 27424 de Generación Distribuida y un medidor bidireccional provisto por EDESUR.;36000;12.36;Goncalves Dias;FLORESTA;Comuna 10
494;Privado;Solar Fotovoltaico;Particular 54;On-Grid;2180 Watts;La instalación posee en su techo 4 paneles solares de silicio monocristalino de 545 Watts conectados a un inversor hibrido Voltronic Infini Solar E 5,5.;3380;1.16;Av. Francisco Bilbao;FLORES;Comuna 7
495;Privado;Solar Fotovoltaico;Particular 55;On-Grid;5340 Watts;La instalación solar fotovoltaica tiene un sistema hibrido que cuenta con 12 paneles solares de 445 Watts de silicio monocristalino, conectados a 2 inversores Growatt SPF5000ES, alimentando a una bateria Growatt de 4800 Wh.;8280;2.85;Paez;FLORES;Comuna 7
496;Privado;Solar Fotovoltaico;Particular 56;On-Grid;3600 Watts;Esta instalación posee 8 paneles solares de Silicio Monocristalino PERC de la marca Amerisolar de 450 Watts c/u instalados sobre una estructura metálica que a su vez está conectado a un inversor Hibrido Voltronic de 5,5 kW alimentando a una bateria Pylontech de 48V 4800 Wh en casos de corte del suministro eléctrico.;5580;1.92;Coronda;CABALLITO;Comuna 6
497;Privado;Solar Fotovoltaico;Estadias y Servicios S.A;On-Grid;12540 Watts;La instalación pertenece a una estación de servicios y expendedor de combustibles Axion Almafuerte la cual posee en el techo de dicha estación una instalación fotovoltaica la cual usa su respectiva energia generada y siendo Usuario Generador puede vender el excedente a la red de distribución eléctrica Edesur.;19450;6.68;Av. Almafuerte;NUEVA POMPEYA;Comuna 4
498;Privado;Solar Fotovoltaico;Tecnologia D'atri;On-Grid;12540 Watts;La instalación pertenece a la estación de servicios AXION Energy de las calles Brasil y la Rioja, la cual se beneficia por el ahorro energético y a su vez siendo Usuario Generador puede vender el excedente de energia a la red distribuidora de electricidad Edesur.;19450;6.68;Av. Brasil;PARQUE PATRICIOS;Comuna 4
499;Privado;Solar Fotovoltaico;Kalfaian Hnos;On-Grid;7320 Watts;La empresa de venta de equipos y repuestos sanitarios posee una instalación solar fotovoltaica sobre su techo, la cual genera su propia energía reduciendo considerablemente el pago en la boleta de electricidad, a su vez siendo Usuario Generador puede vender el excedente generado a la empresa distribuidora de energia eléctrica Edesur;11360;3.9;Albariño;VILLA LUGANO;Comuna 8
500;Privado;Solar Fotovoltaico;VIA Pública CLAN S.A;On-Grid;5400 Watts;El Club Universitario de Buenos Aires posee una instalación solar fotovoltaica la cual puede reducir su consumo energético y a su vez siendo Usuario Generador puede inyectar el excedente de energia que no consume a la red distribuidora eléctrica Edenor.;8380;2.88;Av. Cantilo;;
501;Privado;Solar Fotovoltaico;Carpe Diem Group SA;On-Grid;4950 Watts;La empresa de soluciones gráficas posee una instalación solar fotovoltaica la cual pueden obtener el ahorro energético a partir de la misma, pero también con un posible excedente puede inyectarse a la red distribuidora de electricidad Edesur.;7680;2.64;Uspallata;BARRACAS;Comuna 4
502;Privado;Solar Fotovoltaico;AMANECER 4;On-Grid;11280 Watts;El edificio con proyección residencial y apto profesional dispone en su terraza un sistema solar fotovoltaico de 24 paneles solares Jinko Solar de 470 Watts de silicio monocristalinos tipo N, conectados a un inversor Growatt MIN 10000TL-X2.;17500;6.01;Paraguay;RECOLETA;Comuna 2
503;Privado;Solar Fotovoltaico;Particular 57;On-Grid;4560 Watts;Sobre el techo a dos aguas de chapas se dispone de una instalación solar fotovoltaica con 8 paneles de silicio monocristalino del tipo N bifaciales de la marca Vertex de 570 Watts, conectado a 2 inversores Hibridos de la marca Growatt, la instalación se utiliza para cargar 4 baterias de LFPO Growatt de 4800 Wh.;7070;2.43;Chivilcoy;VILLA DEVOTO;Comuna 11
504;Privado;Solar Fotovoltaico;Particular 58;On-Grid;1700 watts;La instalación posee 5 paneles fotovoltaicos de silicio policristalinos de 340 Watts de la marca Amerisolar ubicados sobre un techo de losa, estos paneles están conectados a un inversor Ongrid Growatt MIC 1500TL-X.;2640;0.91;Pje. Faraday;PARQUE CHACABUCO;Comuna 7
505;Privado;Solar Fotovoltaico;Particular 59;On-Grid;3300 Watts;La instalación solar fotovoltaica posee 6 paneles de silicio monocristalino PERC de 550W de la marca Amerisolar, conectados a un inversor hibrido Voltronic de 5,5 kW el cual alimenta1 bateria Pylontech de 2400 Wh ubicados sobre un techo de losa.;5120;1.76;Pje. Miramar;FLORESTA;Comuna 10
560;Privado;Solar Fotovoltaico;Particular 60;On-Grid;3600 Watts;La instalación solar fotovoltaica dispone de 8 paneles de silicio monocristalino PERC de 450 Watts ubicados sobre techo de losa. Estos están conectados a un inversor hibrido Voltronic de 5,5 kW el cual alimenta una bateria Pylontech de 3500 Wh.;5580;1.92;14 de Julio;VILLA ORTUZAR;Comuna 15
507;Privado;Solar Fotovoltaico;Particular 61;On-Grid;1760 Watts;La instalación solar fotovoltaica posee 4 paneles de 440 Watts sobre una estructura metálica, conectados a un inversor OnGrid de 3 kW.;2730;0.94;Olavarría;;
508;Privado;Solar Fotovoltaico;Particular 62;On-Grid;3000 Watts;La instalación solar fotovoltaica ubicada sobre un techo de tejas tiene 8 paneles de silicio monocristalino PERC de 375 Watts que están conectados a un inversor hibrido de 3 kW.;4650;1.6;Cuzco;VERSALLES;Comuna 10
509;Privado;Solar Térmico;Particular 63;;200 litros;El sistema solar térmico con capacidad de 200 litros de tubos de vacio de la marca sungreen se ubica sobre un techo de losa el cual calienta el agua para uso sanitario.;3820;1.31;Beauchef;PARQUE CHACABUCO;Comuna 7
510;Privado;Solar Fotovoltaico;Particular 64;On-Grid;3680 Watts;La instalación solar fotovoltaica posee 8 paneles de 460 Watts de Silicio Monocristalino PERC de la marca Amerisolar, los cuales están conectados a un inversor Deye de 6 kW.;5710;1.96;Nahuel Huapi;VILLA URQUIZA;Comuna 12
511;Privado;Solar Fotovoltaico;Pasco FV;On-Grid;2100 Watts;La instalación se compone de 6 paneles solares policristalinos con potencia nominal c/u de 350 Watts, los mismos están ubicados sobre un techo de losa;3260;1.12;Pasco;SAN CRISTOBAL;Comuna 3
512;Privado;Solar Térmico;Pasco ST;;200 litros;La instalación dispone de un colector con tubos evacuados y una capacidad de almacenamiento de 200 litros, ubicado sobre techo de losa.;3820;1.31;Pasco;;
513;Público;Solar Fotovoltaico;Residencia Militar-2;On-Grid;28600;El edificio se auto abastece de energia electrica a traves de 52 paneles solares de la marca Amerisolar de 550 Watts c/u, estos van conectados a un inversor Growatt Trifásico de 40000 Watts.;44370;15.24;Huergo;PALERMO;Comuna 14
514;Privado;Solar Fotovoltaico;Particular 65;On-Grid;7040 Watts;La instalación está ubicada sobre un techo de losa la cual tiene 16 paneles de 440W de Silicio monocristalinos de la marca Jinko Solar, los cuales están conectados a un inversor Ongrid SMA Sunny Tripower de 6 kW.;10920;3.75;Conde;COLEGIALES;Comuna 13
515;Privado;Solar Térmico;Particular 66;;480 litros;La instalación solar termica está compuesta por 3 colectores solares de placa plana de la marca Rheem con una capacidad total de 480 litros;9170;3.15;Conde;COLEGIALES;Comuna 13
516;Privado;Solar Fotovoltaico;Particular 67;On-Grid;4600 Watts;La instalación posee 10 paneles solares de silicio monocristalinos de 460 Watts de la marca Jinko solar, ubicados sobre techo de tejas, que a su vez fueron conectados a un inversor Ongrid Growatt trifásico de 5000 Watts.;7140;2.45;Heredia;VILLA ORTUZAR;Comuna 15
517;Privado;Solar Fotovoltaico;Bagnols S.A;On-Grid;10000 Watts;La empresa de servicios y venta de tableros eléctricos incorporó a su techo una estructura con 22 paneles de silicio monocristalinos de 450 Watts, que fueron conectados a un inversor hibrido trifásico de 10 kW, consumiendo en parte la generación de energía e inyectando su excedente a la red distribuidora de energía EDESUR siendo Usuario Generador.;15510;5.33;Albar Nuñez;;
518;Privado;Solar Fotovoltaico;Particular 68;On-Grid;5760 Watts;La instalación solar fotovoltaica reduce el consumo energético en su vivienda que a su vez está inscripta como usuario generador inyectando el excedente de generación a la red de distribución eléctrica EDENOR.;8940;3.07;Av. Federico Lacroze;PALERMO;Comuna 14
519;Privado;Solar Fotovoltaico;Berkley Argentina Seguros;On-Grid;24000 Watts;La empresa de seguros tiene sobre su terraza una instalación solar fotovoltaica de 60 paneles de silicio monocristalinos de la marca Amerisolar de 400 Watts, estos están conectados a un inversor Ongrid trifásico Growatt de 25000 Watts.;37230;12.79;Carlos Pellegrini;RETIRO;Comuna 1
520;Público;Solar Fotovoltaico;Residencia Militar Buenos Aires- Etapa 1;On-Grid;46750 Watts;El edificio de la residencia militar de Buenos Aires optó por las energias alternativas utilizando 85 paneles de silicio monocristalino de 550 Watts de la marca Amerisolar, estos fueron integrados de manera coplanar y conectados a un inversor Ongrid de 40 kW trifásico de la marca Growatt.;72520;24.91;Huergo;PALERMO;Comuna 14
521;Privado;Solar Fotovoltaico;Particular 68;On-Grid;2520 Watts;El edificio particular tiene una instalación Fotovoltaica que a su vez es Usuario Generador, lo que significa utilizar la energia de generación para ahorro energético y el posible excedente inyectarlo a la red distribuidora.;3910;1.34;Holmberg;VILLA ORTUZAR;Comuna 15
522;Privado;Solar Fotovoltaico;Particular 69;On-Grid;9990 Watts;El edificio particular posee una instalación fotovoltaica en el barrio de Monserrat el cual aprovecha del beneficio de ser Usuario Generador ahorrando energia y con el excedente volcarlo a la red de distribución eléctrica.;15500;5.32;;;
523;Privado;Solar Fotovoltaico;Particular 70;On-Grid;7040 Watts;La instalación posee en su terraza 16 paneles de silicio mono PERC de 440 Watts de la marca Risen los cuales producen energia eléctrica para utilizarla y guardarla mediante 2 baterias Deye de 100 Ah conectados a un inversor Deye hibrido de 8 kW monofásico,;10920;3.75;José Martí;FLORES;Comuna 7
524;Privado;Solar Fotovoltaico;Usina Cowork;On-Grid;22790 Watts;El edificio de oficinas parte de su energia proviene de 53 paneles de silicio tipo N de la empresa Amerisolar ubicados sobre dos tipo de techo e inclinados de manera coplanar como trapezoidal, los mismos están conectados a un inversor Ongrid Deye trifásico de 25 kW.;35350;12.14;Castillo;CHACARITA;Comuna 15
525;Público;Solar Fotovoltaico;Baños Reserva Ecológica Costanera Sur;On-Grid;960 Watts;Estos nuevos baños de la Reserva Ecológica ubicados en la entrada del sector Norte utilizan fuentes de energía renovable de 8 paneles solares fotovoltaicos de silicio policristalinos con una potencia de 120 W cada uno, ubicados sobre un techo de chapa sobre una estructura a 35Â° de inclinación, conectados a un inversor Ongrid de 1 kW.;2;0.51;;;
526;Privado;Solar Fotovoltaico;Concesionaria TOYOTA Nuñez;On-Grid;48000 Watts;La concesionaria de vehículos TOYOTA en su sede Núñez adquirió un sistema fotovoltaico con 82 paneles de 585W c/u de tecnología TOPCon ubicados sobre su techo con disposición horizontal, concentrando toda su energía en un inversor Ongrid trifásico de 50 kW.;74460;25.58;Av. Pres. Figueroa Alcorta;BELGRANO;Comuna 13
527;Privado;Solar Fotovoltaico;Lavadero TOYOTA Nuñez;On-Grid;7000 Watts;La concesionaria Toyota Núñez administra un lavadero donde tiene una instalación Solar Fotovoltaica en su techo de 12 paneles de la tecnología TOP Con de 585 Watts montados sobre estructuras trapezoidales. Los mismos son conectados a un inversor Ongrid Growatt monofásico de 6 kW.;10860;3.73;Av. Pres. Figueroa Alcorta;;
528;Privado;Solar Fotovoltaico;BRINKS;On-Grid;50850 Watts;La empresa proveedora global en soluciones integrales de seguridad, transporte de caudales, tiene en uno de sus sucursales principales de CABA una instalación FV de 90 paneles de Silicio Monocristalinos de 565 Watts JA Solar en su azotea conectados a 1 inversor Growatt trifásico de 50 kilowatts de potencia.;78880;27.1;Av. Int. Francisco Rabanal;;
529;Privado;Solar Fotovoltaico;Pergola Torres YPF;On-Grid;26000 Watts;Sobre la entrada a las torres de la empresa YPF en Puerto Madero hay pérgolas de hormigón donde se montaron 80 paneles solares bi-faciales de 325W, las mismas se encuentran coplanares en la parte superior contorneando al edificio obteniendo diferentes orientaciones, son conectados a 1 inversor SMA trifásico de 30kW Ongrid.;40330;13.85;Macacha Güemes;;
530;Privado;Solar Fotovoltaico;RAXAR SRL;On-Grid;3000 Watts;La empresa de tecnología de soluciones escalables dispone en su edificio un sistema fotovoltaico de 8 paneles de Silicio monocristalino de 460W con una inclinación de 30Â° mediante estructuras de aluminio. Los mismo son conectados a un inversor Growatt de 3kW monofasico.;4650;1.6;Lavalleja;PALERMO;Comuna 14
531;Privado;Solar Fotovoltaico;Banco Santander (Av. Gaona);On-Grid;3600 Watts;Sobre el edificio del Banco Santander disponen de una instalación FV de 8 paneles de Silicio monocristalino de 460W, ubicados de manera trapezoidal a 30Â°. Los mismos son conectados a un inversor Growatt monofasico de 3kW Ongrid.;5580;1.92;Av. Gaona;VILLA SANTA RITA;Comuna 11
532;Privado;Solar Fotovoltaico;PH ECO 3;On-Grid;5640 Watts;El proyecto inmobiliario diseña edificios sustentables aprovechando nuevas tecnologias en eficiencia energética, en esta ocación incorporaron 12 paneles de silicio monocristalinos de 470W montados sobre estructuras trapezoidales y bloques de hormigon. Los mismos fueron conectados a 1 inversor trifásico Ongrid de 5kW.;8750;3.01;Defensa;SAN TELMO;Comuna 1
533;Privado;Solar Fotovoltaico;Particular 71;On-Grid;3720 Watts;La casa particular dispone en su techo de tejas un sistema fotovoltaico de 8 paneles silicio monocristalinos de 465W, conectados a un inversor Ongrid Growatt monofásico de 3 kW.;5770;1.98;Gral. José M. Bustillo;FLORES;Comuna 7
534;Privado;Solar Fotovoltaico;PH ECO 1;On-Grid;3720 Watts;El proyecto inmobiliario diseña edificios sustentables aprovechando nuevas tecnologías en eficiencia energética, en esta ocasión incorporaron 12 paneles de silicio monocristalinos de 445W montados sobre estructuras trapezoidales y bloques de hormigon. Los mismos fueron conectados a 1 inversor trifásico Ongrid de 5kW.;8280;2.85;Terrada;VILLA DEL PARQUE;Comuna 11
