ANIO;TEMPORADA;OBRA;OBRA_OBSERVACION;ASISTENTES;FECHA;HORA;OBSERVACIONES_FECHA
2011;CETC;GELABERT SOLOS;CANCELADA;;02/10/2011;S/D;
2011;CETC;BERLINADE;CANCELADA;;27/10/2011;S/D;
2011;CETC;BERLINADE;CANCELADA;;28/10/2011;S/D;
2011;CETC;BERLINADE;CANCELADA;;29/10/2011;S/D;
2011;CETC;BERLINADE;CANCELADA;;02/11/2011;S/D;
2011;CETC;BERLINADE;CANCELADA;;03/11/2011;S/D;
2011;CETC;BERLINADE;CANCELADA;;04/11/2011;S/D;
2011;CETC;BERLINADE;CANCELADA;;05/11/2011;S/D;
2011;CETC;BERLINADE;CANCELADA;;06/11/2011;S/D;
2011;CETC;BERLINADE;VOICES AND PIANO;56;12/11/2011; 20:30 hs;
2011;CETC;BERLINADE;CICLO MUSICA CONTEMPORINEA;120;18/11/2011; 20:30 hs;
2011;CETC;LABORATORIO CREATIVO ESTRENO DE UNA OPERA. MENTIR;MENTIR ;20;30/11/2011; 20:30 hs;
2011;CETC;LABORATORIO CREATIVO ESTRENO DE UNA OPERA. MENTIR;MENTIR ;86;01/12/2011; 20:30 hs;
2011;CETC;LABORATORIO CREATIVO ESTRENO DE UNA OPERA. MENTIR;MENTIR ;100;06/12/2011; 20:30 hs;
2011;CETC;LABORATORIO CREATIVO ESTRENO DE UNA OPERA. MENTIR;CANCELADA;;04/12/2011;S/D;
2011;CETC;LABORATORIO CREATIVO ESTRENO DE UNA OPERA. MENTIR;CUARTETO DE CUERDAS DE LA UNTREF;35;16/12/2011; 20:30 hs;
2011;ARRIENDOS;CICLO TANDEM;CICLO TANDEM/ALDO CICCOLINI PIANO;;05/04/2010; 20:30 hs;
2011;ARRIENDOS;FESTIVALES MUSICALES;FESTIVALES MUSICALES/ROGER MURARO, PIANO/ARRIENDO;;11/05/2011; 20:30 hs;
2011;ARRIENDOS;FESTIVALES MUSICALES;FESTIVALES MUSICALES/ORQUESTA DE CIMARA DE CHILE/H. LAVANDERA/ARRIENDO;;08/06/2011; 20:30 hs;
2011;ARRIENDOS;FESTIVALES MUSICALES;FESTIVALES MUSICALES/ESTUDIO CORAL DE BUENOS AIRES/ARRIENDO;;11/07/2011; 20:30 hs;
2011;ARRIENDOS;FESTIVALES MUSICALES;FESTIVALES MUSICALES/OFBA/ARRIENDO;;20/07/2011; 20:30 hs;
2011;ARRIENDOS;FESTIVALES MUSICALES;FESTIVALES MUSICALES/CAMERATA BARILOCHE/ARRIENDO;;19/10/2011; 20:30 hs;
2011;ARRIENDOS;FESTIVALES MUSICALES;FESTIVALES MUSICALES/VALENTINA LISITSA/ARRIENDO;;14/11/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/BUDAPEST FESTIVAL ORCHESTRA/ARRIENDO;;02/05/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/BUDAPEST FESTIVAL ORCHESTRA/ARRIENDO;;05/05/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/CUARTETO EMERSON/ARRIENDO;;23/05/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/CUARTETO EMERSON/ARRIENDO;;24/05/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/ORQUESTA DE CIMARA DE MUNICH/ARRIENDO;;13/06/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/ORQUESTA DE CIMARA DE MUNICH/ARRIENDO;;14/06/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/ORQUESTA SIMON BOLIVAR DE VENEZUELA/ARRIENDO;;26/06/2011; 17:00 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/ORQUESTA SIMON BOLIVAR DE VENEZUELA/ARRIENDO;;27/06/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/BRITTEN SINFONIA/ARRIENDO;;08/08/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/BRITTEN SINFONIA/ARRIENDO;;10/08/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/DEUTSCHE KAMMERPHILARMONIE BREMEN/ARRIENDO;;29/08/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/DEUTSCHE KAMMERPHILARMONIE BREMEN/ARRIENDO;;30/08/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/INGRID FLITER/ARRIENDO;;05/09/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/INGRID FLITER/ARRIENDO;;06/09/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/VIENA PIANO TRIO/ARRIENDO;;25/09/2011; 20:30 hs;
2011;ARRIENDOS;MOZARTEUM ARGENTINO;MOZARTEUM ARGENTINO/VIENNA PIANO TRIO/ARRIENDO;;26/09/2011; 20:30 hs;
