;Enero;Febrero;Marzo ;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Total
Llamadas atendidas;4086;3757;5059;4049;4348;5253;5182;7361;6905;5934;6513;5200;63647
Casos;3035;3000;3499;3071;3036;3037;3208;3459;3379;3117;3001;2878;37720
