periodo,teatro,obra,localidades_vendidas,invitados,cartelera,jub_y_est,club_nacion,ba_con_vos_y_banco_ciudad,discapacidad
201711,SAN MARTIN,CUENTOS DE ORIENTE Y OCC.,87,952,4,NA,NA,4,5
201711,DE LA RIBERA,CUERPO A CUERPO,102,847,5,NA,2,NA,NA
201711,SAN MARTIN,EL INSPECTOR,5648,1634,266,453,154,445,215
201711,SAN MARTIN,FUNDACION JULIO BOCA,NA,1767,NA,NA,NA,NA,NA
201711,SAN MARTIN,LA ISLA DESIERTA,347,659,8,NA,2,54,23
201711,SAN MARTIN,ORLANDO,917,754,56,74,12,299,78
201711,REGIO,ORQUESTA DE TANGO,NA,540,NA,NA,NA,NA,NA
201712,SAN MARTIN,A PURO TANGO,NA,235,NA,NA,NA,NA,NA
201712,SAN MARTIN,AMIGO E CARDOZO &QUINTER,485,50,NA,NA,NA,NA,NA
201712,SARMIENTO,ARDE BRILLANTE,142,31,5,18,NA,8,5
201712,SAN MARTIN,BAJO EL BOSQUE DE LECHE,569,114,NA,63,24,24,20
201712,REGIO,CAMUFLAJE,136,732,12,NA,NA,42,10
201712,REGIO,COMPANIA LAS ILUSIONES,NA,436,NA,NA,NA,NA,NA
201712,SAN MARTIN,CUENTOS DE ORIENTE Y OCC.,1362,1320,51,128,54,1,94
201712,SAN MARTIN,EL INSPECTOR,2825,430,125,107,32,232,85
201712,SAN MARTIN,LA ISLA DESIERTA,354,555,39,NA,NA,72,31
201712,REGIO,MUESTRA TALLER DANZA CONT,NA,439,NA,NA,NA,NA,NA
201712,SAN MARTIN,ORLANDO,847,453,59,55,14,147,31
201712,SAN MARTIN,ORQUESTA NAC JUVENIL S.MAR,NA,345,NA,NA,NA,NA,NA
201712,DE LA RIBERA,PROFESSOR,7,100,NA,NA,NA,NA,NA
201801,SARMIENTO,ARDE BRILLANTE,494,100,23,11,NA,1,12
201801,REGIO,MIEDO,630,837,27,NA,NA,6,17
201802,SARMIENTO,ARDE BRILLANTE,2358,334,104,43,10,1,28
201802,DE LA RIBERA,CRIMEN PASIONAL,518,290,31,40,2,NA,21
201802,REGIO,MIEDO,4820,765,137,NA,NA,NA,108
201803,SM CUNIL,LAS AMARGAS LAGRIM,1159,409,184,131,58,NA,38
201803,SAN MARTIN,CASAMIENTO,1511,1079,100,111,90,NA,131
201803,SAN MARTIN,REÑIDERO,1393,893,87,190,96,NA,87
201803,REGIO,MIEDO,3261,410,79,NA,NA,NA,52
201803,DE LA RIBERA,CRIMEN PASIONAL,355,158,23,72,12,NA,15
