medicion;fecha;med_id_bolsa;comuna;direccion_contenedor;latitud;longitud;peso_neto_kg;origen;clasificacion;1_s1;2_s1;3_s1;4_s1;5_s1;6_s1;7_s2;8_s2;9_s2;10_s2;11_s2;12_s3;13_s3;14_s3;suma
2022-M3;2022-12-06;22m3-1175;15;Biarritz 1877;-345990558;-58,47460629;0.58;Residencial;No Separa;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2
2022-M3;2022-12-12;22m3-1274;1;Echague, Pedro 1690;-34630027;-58,389046;1.475;Residencial;No Separa;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2
2022-M3;2022-12-12;22m3-1272;1;Santiago Del Estero 1126;-34620541;-58,38413;1.33;Residencial;No Separa;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2
2022-M3;2022-12-12;22m3-1271;1;Saenz Pe A, Luis, Pres. 1264;-3462340477;-58,38705889;2.46;Residencial;No Separa;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2
2022-M3;2022-12-15;22m3-1238;6;Vallese, Felipe 909;-3461360931;-58,44674683;1.955;Residencial;No Separa;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
2022-M3;2022-12-15;22m3-1216;6;Falcon, Ramon L.,cnel. 1606;-346260376;-58,4516983;3.385;Residencial;No Separa;0;0;0;0;0;0;0;0;1;1;0;1;0;0;3
2022-M3;2022-12-15;22m3-1237;6;Repetto, Nicolas, Dr. 487;-3461615753;-58,44495773;1.15;Residencial;No Separa;0;0;0;0;1;0;0;0;0;0;0;0;1;1;3
2022-M3;2022-12-15;22m3-1260;7;Salas 791;-3463216064;-58,4382448;0.585;Residencial;No Separa;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2
2022-M3;2022-12-15;22m3-2263;7;Pumacahua 834;-3463528824;-58,45124817;1.395;Residencial;No Separa;0;0;0;0;0;0;0;1;0;0;0;0;3;0;4
2022-M3;2022-12-15;22m3-1195;5;Billinghurst 309;-3460578918;-58,41621017;1.22;Residencial;No Separa;0;0;0;0;0;0;0;2;0;1;0;0;0;0;3
2022-M3;2022-12-15;22m3-1202;5;Castro 966;-34622285;-58,4206503;1.285;Residencial;Separa;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
2022-M3;2022-12-15;22m3-1213;5;Boedo Av. 1060;-3462659836;-58,41598892;0.885;Residencial;No Separa;0;0;0;0;0;0;0;0;0;0;1;0;2;1;4
2022-M3;2022-12-16;22m3-1286;1;Guevara, Trinidad 342;-3460322189;-58,3638382;2.695;Residencial;No Separa;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2
2022-M3;2022-12-16;22m3-1290;1;Arenales 914;-3459413147;-58,38042831;4.31;Residencial;No Separa;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2
2022-M3;2022-12-22;22m3-1362;14;Gascon 1167;-3459645076;-58,42303446;0.685;Residencial;No Separa;0;0;2;0;0;0;0;1;0;1;0;0;0;1;5
2022-M3;2022-12-26;22m3-2367;14;Salguero, Jeronimo 1679;-3459025471;-58,41690678;3.32;Residencial;No Separa;0;0;0;0;1;1;0;0;0;0;0;0;0;1;3
2022-M3;2022-12-26;22m3-1322;2;Juncal 2740;-3458923018;-58,40474269;1.365;Residencial;No Separa;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2
2022-M3;2022-12-26;22m3-1320;2;Santa Fe Av. 2636;-3459378379;-58,40409752;1.1;Residencial;Separa;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
2022-M3;2022-12-26;22m3-1303;2;Alvear Av. 1854;-3458800781;-58,3887162;0.94;NA;No Separa;0;0;0;0;0;0;0;0;1;0;0;0;0;2;3
2022-M3;2022-12-01;22m3-1134;11;Concordia 2035;-3461396027;-58,4908905;2.01;Residencial;No Separa;2;0;0;0;0;0;0;0;0;1;1;0;0;0;4
2022-M3;2022-12-02;22m3-1154;12;Pedraza, Manuela 5142;-3456497955;-58,49200058;1.29;Residencial;No Separa;1;0;0;0;0;1;0;0;0;0;0;0;3;0;5
2022-M3;2022-12-16;22m3-1289;1;Cossettini, Olga 1692;-3461679028;-58,3629428;3.11;Residencial;Separa;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
2022-M3;2022-12-22;22m3-1382;14;Guatemala 5442;-3458108151;-58,43070964;4.12;Residencial;No Separa;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2
2022-M3;2022-12-22;22m3-2358;14;Campos, Luis M. Av. 1160;-3456586838;-58,43978882;4.095;Residencial;Separa;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
