nombre_evento,tipo_evento,fecha_inicio,fecha_finalizacion
Exposicion Internacional de Proovedores de la Industria del calzado y Manufacturas - EXPOCAIPIC.,FERIAS Y EXPOSICIONES,2019-05-14,2019-05-16
NexTv Summit South America 2019,CONGRESOS Y CONVENCIONES,2019-05-14,2019-05-15
18º Encuentro Nacional Retailer,CONGRESOS Y CONVENCIONES,2019-05-14,2019-05-14
Seminario de Economía de la Energía,CONGRESOS Y CONVENCIONES,2019-05-15,2019-05-17
5º Encuentro Latinoamericano de Investigadores en Ciencias Jurídicas y Económicas - ELICJE 2019,CONGRESOS Y CONVENCIONES,2019-05-15,2019-05-17
22nd Annual IBA Transnational Crime Conference,CONGRESOS Y CONVENCIONES,2019-05-15,2019-05-17
Seminario Latinoamericano de Seguros y Reaseguros,CONGRESOS Y CONVENCIONES,2019-05-15,2019-05-16
Jornada Perspectivas de las Telecomunicaciones,CONGRESOS Y CONVENCIONES,2019-05-15,2019-05-15
4º Simposio de Cardiopatia Isquémica,CONGRESOS Y CONVENCIONES,2019-05-15,2019-05-15
4ª Jornada InnovaTur BA 2019,CONGRESOS Y CONVENCIONES,2019-05-15,2019-05-15
2º Congreso COFyBCF,CONGRESOS Y CONVENCIONES,2019-05-16,2019-05-18
3º Encuentro de Redes IberCultura Viva,CONGRESOS Y CONVENCIONES,2019-05-16,2019-05-17
15° Encuentro de Jóvenes Profesionales en Ciencias Económicas,CONGRESOS Y CONVENCIONES,2019-05-16,2019-05-17
4º Best of Astro,CONGRESOS Y CONVENCIONES,2019-05-16,2019-05-17
Jornadas Celulósico Papeleras 2019,CONGRESOS Y CONVENCIONES,2019-05-16,2019-05-17
Simposio Enfermedades Desmielinizantes de Inicio Pediátrico,CONGRESOS Y CONVENCIONES,2019-05-16,2019-05-17
Internet Day 2019,CONGRESOS Y CONVENCIONES,2019-05-16,2019-05-17
Jornadas Internacionales de Patología Quirúrgica Práctica 2019,CONGRESOS Y CONVENCIONES,2019-05-16,2019-05-17
Owasp Latam Buenos Aires 2019,CONGRESOS Y CONVENCIONES,2019-05-16,2019-05-16
Experiencia Endeavor Buenos Aires 2019,CONGRESOS Y CONVENCIONES,2019-05-16,2019-05-16
Expo Candy,FERIAS Y EXPOSICIONES,2019-05-17,2019-05-19
Jornada Porteña de Diversidad Sexual,CONGRESOS Y CONVENCIONES,2019-05-17,2019-05-17
Jornadas de Actualización en Diabetes,CONGRESOS Y CONVENCIONES,2019-05-17,2019-05-17
13ª Conferencia Regional de Compatriotas Rusos de las Américas y el Pacífico,CONGRESOS Y CONVENCIONES,2019-05-17,2019-05-17
38° Congreso Internacional de Metafísica,CONGRESOS Y CONVENCIONES,2019-05-18,2019-05-19
2ª Jornada de Actualización en Dermato-Cosmética,CONGRESOS Y CONVENCIONES,2019-05-19,2019-05-19
2019 AMA Global Marketing SIG Conference,CONGRESOS Y CONVENCIONES,2019-05-20,2019-05-23
XXI Conferencia Interamericana de la Cruz Roja,CONGRESOS Y CONVENCIONES,2019-05-20,2019-05-23
4ª Jornadas Nacionales de Auxología,CONGRESOS Y CONVENCIONES,2019-05-20,2019-05-22
"10° Congreso Argentino de Salud Integral del Adolescente   EN EL MARCO DE LA SEMANA DE CONGRESOS Y JORNADAS NACIONALES  2019
2° Congreso Argentino De Medicina Interna Pediátrica  10° Congreso Argentino De Salud Integral Del Adolescente 4° Jornadas Nacionales De Auxología - 1° Jornadas Nacionales de Desarrollo  4° Congreso Argentino de Neonatología  1° Congreso Argentino de Alergia e Inmunología en Pediatría   5° Jornadas Nacionales de Actividad Física y Deportiva en el Niño y el Adolescente
1° Jornada Nacional de Ética y Humanidades",CONGRESOS Y CONVENCIONES,2019-05-20,2019-05-22
2º Congreso Argentino de Medicina Interna Pediátrica,CONGRESOS Y CONVENCIONES,2019-05-20,2019-05-22
5ª Jornadas de Derecho Tributario,CONGRESOS Y CONVENCIONES,2019-05-20,2019-05-21
1ª Jornada de Engorde a Corral,CONGRESOS Y CONVENCIONES,2019-05-20,2019-05-20
14º Congreso Iberoamericano de Derecho Constitucional,CONGRESOS Y CONVENCIONES,2019-05-21,2019-05-23
"7º Congreso de Creatividad, Diseño y Comunicación  - Interfaces 2019",CONGRESOS Y CONVENCIONES,2019-05-21,2019-05-22
Simposio Nuevas preguntas y Respuestas y en Enfermedad Coronaria,CONGRESOS Y CONVENCIONES,2019-05-21,2019-05-21
Congreso Nacional ACETIA 2019,CONGRESOS Y CONVENCIONES,2019-05-21,2019-05-21
Jornada de Seguros Buenos Aires 2019,CONGRESOS Y CONVENCIONES,2019-05-21,2019-05-21
BATEV 19,FERIAS Y EXPOSICIONES,2019-05-22,2019-05-25
5ª Jornadas Nacionales de Actividad Física y Deportiva en el Niño y el Adolescente,CONGRESOS Y CONVENCIONES,2019-05-22,2019-05-24
1° Congreso Argentino de Alergia e Inmunología en Pediatría,CONGRESOS Y CONVENCIONES,2019-05-22,2019-05-24
4° Congreso Argentino de Neonatología,CONGRESOS Y CONVENCIONES,2019-05-22,2019-05-24
Simposio de Recuperación Cardiovascular,CONGRESOS Y CONVENCIONES,2019-05-22,2019-05-22
Foro Argentino de Inversores,CONGRESOS Y CONVENCIONES,2019-05-22,2019-05-22
Seminario de Liderazgo y Conducción Interna de las FFAA,CONGRESOS Y CONVENCIONES,2019-05-22,2019-05-22
2ª Jornada Anual de Turismo y Salud,CONGRESOS Y CONVENCIONES,2019-05-22,2019-05-22
13º Comin Forum Regional,CONGRESOS Y CONVENCIONES,2019-05-23,2019-05-24
Foro Argentina Exporta 2019,CONGRESOS Y CONVENCIONES,2019-05-23,2019-05-24
1º Encuentro de reflexión sobre Relaciones Internacionales,CONGRESOS Y CONVENCIONES,2019-05-23,2019-05-24
Jornada de Ciencia Política,CONGRESOS Y CONVENCIONES,2019-05-23,2019-05-23
Congreso de Gestión de Capital Humano Internacional,CONGRESOS Y CONVENCIONES,2019-05-23,2019-05-23
2nd IFLA President's Meeting  2da IFLA Reunión Presidencial,CONGRESOS Y CONVENCIONES,2019-05-23,2019-05-23
1ª Jornada Nacional de Ética y Humanidades,CONGRESOS Y CONVENCIONES,2019-05-23,2019-05-23
CW Australia Educa - Feria de Entidades Educativas Australianas,FERIAS Y EXPOSICIONES,2019-05-23,2019-05-23
Argentina Comic-Con 2019,FERIAS Y EXPOSICIONES,2019-05-24,2019-05-26
12º Día Limud BA,CONGRESOS Y CONVENCIONES,2019-05-26,2019-05-26
Encuentro Sudamericano de la International Society for Plastination ISP,CONGRESOS Y CONVENCIONES,2019-05-27,2019-05-31
"17º Simposio Iberolatinoamericano de Terminología Anatómica, Histológica y Embriológica SILAT     (en conjunto con el XIX Congreso Panamericano de Anatomía)",CONGRESOS Y CONVENCIONES,2019-05-27,2019-05-31
21 Congreso de Anatomía del Cono Sur (en conjunto con el XIX Congreso Panamericano de Anatomía),CONGRESOS Y CONVENCIONES,2019-05-27,2019-05-31
"XIX Congreso Panamericano de Anatomia (evento ICCA)     7º Congreso Internacional de Anatomía 
56º Congreso Argentino de Anatomía    40º Congreso Chileno de Anatomía  1º Congreso Ecuatoriano de Ciencias Morfológicas  17º Simposio Iberolatinoamericano de Terminología Anatómica, Histológica y Embryológica (ESTE ES OTRO ICCA DISTINTO QUE LO CARGUE **POR SEPARADO***),  21º Congreso de Anatomía del Cono Sur (ESTE ES OTRO ICCA MAS QUE TAMBIEN LO CARGUE **LOS 3 POR SEPARADO**). -SON 3 eventos ICCA-   7º Congreso Argentino de Técnicas Anatómicas  11º Jornadas Argentinas de Anatomía para Estudiantes de Ciencias de la Salud            . Encuentro Sudamericano de la International Society for Plastination ISP (tambien cargado por separado es posible icca).",CONGRESOS Y CONVENCIONES,2019-05-27,2019-05-31
Seminario Internacional del Derecho al Agua al Derecho al Futuro,CONGRESOS Y CONVENCIONES,2019-05-27,2019-05-30
9ª Conferencia Anual de Salud Ocupacional,CONGRESOS Y CONVENCIONES,2019-05-27,2019-05-27
Foro Latinoamericano Derechos de Infancia Argentina,CONGRESOS Y CONVENCIONES,2019-05-27,2019-05-27
Congreso MAIZAR 2019,CONGRESOS Y CONVENCIONES,2019-05-28,2019-05-28
4º Seminario Anual de Capacitación IAATI,CONGRESOS Y CONVENCIONES,2019-05-29,2019-05-31
Conferencia Latinoamericana de INTERPOL sobre Delitos Relacionados con Vehículos,CONGRESOS Y CONVENCIONES,2019-05-29,2019-05-31
Evento de Prueba,CONGRESOS Y CONVENCIONES,2019-05-29,2019-05-31
X Congreso Panamericano de Esterilización Hospitalaria,CONGRESOS Y CONVENCIONES,2019-05-29,2019-05-31
11º Exposición Internacional de Limpieza e Higiene Profesional - Expoclean 2019,FERIAS Y EXPOSICIONES,2019-05-29,2019-05-31
46th General Assembly of The Geneva Association 46º Asamblea Anual de la Asociación de Ginebra,CONGRESOS Y CONVENCIONES,2019-05-29,2019-05-30
64th Annual Conference of the International Linguistic,CONGRESOS Y CONVENCIONES,2019-05-30,2019-06-01
8ª Jornadas Nacionales de la Defensa Pública Oficial,CONGRESOS Y CONVENCIONES,2019-05-30,2019-05-31
3ª Media Jornada sobre Administración Pública,CONGRESOS Y CONVENCIONES,2019-05-30,2019-05-30
Hackaton de Datos Educativos,CONGRESOS Y CONVENCIONES,2019-05-31,2019-06-02
2º Hackatón de Datos Educativos,CONGRESOS Y CONVENCIONES,2019-05-31,2019-06-02
Encuentro de Otoño de Psicoanálisis Universidad Maimónides,CONGRESOS Y CONVENCIONES,2019-06-01,2019-06-01
Conferencia Dakar 2020 Buenos aires,CONGRESOS Y CONVENCIONES,2019-06-01,2019-06-01
5ª Jornadas Nacionales de Clínica con Niñxs y Adolescentes,CONGRESOS Y CONVENCIONES,2019-06-01,2019-06-01
FITHEP Expoalimentaria Latinoamericana 2019,FERIAS Y EXPOSICIONES,2019-06-03,2019-06-06
Foro Regional Planes Nacionales de Acción y Políticas Públicas en Empresas y Derechos Humanos,CONGRESOS Y CONVENCIONES,2019-06-03,2019-06-04
Foro de Vivienda Sustentable,CONGRESOS Y CONVENCIONES,2019-06-03,2019-06-04
1º Congreso de Periodismo Digital,CONGRESOS Y CONVENCIONES,2019-06-04,2019-06-04
NANO 2019 XIX Encuentro de superficies y materiales nanoestructurados,CONGRESOS Y CONVENCIONES,2019-06-05,2019-06-07
5° Simposio Latinoamericano de Posicionamiento en Sentado y Movilidad,CONGRESOS Y CONVENCIONES,2019-06-05,2019-06-07
MMA Leadership Forum Argentina,CONGRESOS Y CONVENCIONES,2019-06-05,2019-06-05
Congreso Argentino de Liderazgo y Coaching,CONGRESOS Y CONVENCIONES,2019-06-05,2019-06-05
XIII Feria y Exposición del Libro de Historia de la Ciudad,FERIAS Y EXPOSICIONES,2019-06-06,2019-06-13
Seminario en Latinoamérica de Teoría Constitucional y Política—the Seminar in Latin America on Constitutional and Political Theory SELA,CONGRESOS Y CONVENCIONES,2019-06-06,2019-06-09
Encuentro Nacional de Auditores Internos - ENAI 2019,CONGRESOS Y CONVENCIONES,2019-06-06,2019-06-07
35º Congreso Latinoamericano de Comercio Exterior - CLACE,CONGRESOS Y CONVENCIONES,2019-06-06,2019-06-07
1º Seminario La Ciberdefensa en la República Argentina,CONGRESOS Y CONVENCIONES,2019-06-06,2019-06-07
11º Congreso Argentino de Medicina de Emergencias,CONGRESOS Y CONVENCIONES,2019-06-06,2019-06-07
10º Encuentro Internacional de Trabajo Social,CONGRESOS Y CONVENCIONES,2019-06-06,2019-06-07
Congreso Nacional de Crédito,CONGRESOS Y CONVENCIONES,2019-06-06,2019-06-06
Nuevo Dinero,CONGRESOS Y CONVENCIONES,2019-06-06,2019-06-06
Simposio Universitario de Gastroenterología y Hepatología,CONGRESOS Y CONVENCIONES,2019-06-06,2019-06-06
Congreso Regional de Interacción con Clientes 2019,CONGRESOS Y CONVENCIONES,2019-06-06,2019-06-06
1° Simposio Internacional de Pádel,CONGRESOS Y CONVENCIONES,2019-06-07,2019-06-09
5º Congreso Internacional sobre Problemáticas en Salud y Educación,CONGRESOS Y CONVENCIONES,2019-06-07,2019-06-09
Jornada Cuenca del Plata ENDIBA,CONGRESOS Y CONVENCIONES,2019-06-07,2019-06-07
17º Seminario Intensivo de Trastornos de Ansiedad,CONGRESOS Y CONVENCIONES,2019-06-07,2019-06-07
Jornada Escolaridad y Educación para niños y jóvenes con Síndrome de Williams,CONGRESOS Y CONVENCIONES,2019-06-07,2019-06-07
3ª Jornada Día Mundial de los Océanos,CONGRESOS Y CONVENCIONES,2019-06-07,2019-06-07
Evento SILKEY,FERIAS Y EXPOSICIONES,2019-06-08,2019-06-11
Virtuality Buenos Aires,FERIAS Y EXPOSICIONES,2019-06-08,2019-06-09
Buona Estetika 2019,FERIAS Y EXPOSICIONES,2019-06-08,2019-06-09
2ª Jornada de Nutrición Celíaca y Biomédica,CONGRESOS Y CONVENCIONES,2019-06-08,2019-06-08
3ª Jornada de Actualización Dificultades de Aprendizaje,CONGRESOS Y CONVENCIONES,2019-06-08,2019-06-08
12th Annual IAIS Global Seminar  International Association of Insurance Supervisors,CONGRESOS Y CONVENCIONES,2019-06-10,2019-06-14
Ejercicio de Gabinete Multilateral de Contraproliferación PSI 2019,CONGRESOS Y CONVENCIONES,2019-06-11,2019-06-13
3ª Expo Fuego Argentina,FERIAS Y EXPOSICIONES,2019-06-11,2019-06-13
18ª Jornadas de Cardiología,CONGRESOS Y CONVENCIONES,2019-06-11,2019-06-12
Seminario CPIC - Eficiencia Energética,CONGRESOS Y CONVENCIONES,2019-06-11,2019-06-11
Social Media Day Buenos Aires 2019,CONGRESOS Y CONVENCIONES,2019-06-11,2019-06-11
10º Foro de Tecnologías de la Información y la Salud - Foro IT Salud 2019,CONGRESOS Y CONVENCIONES,2019-06-11,2019-06-11
"IX Reunión de los Mecanismos Internacionales para la
Asistencia Humanitaria MIAH",CONGRESOS Y CONVENCIONES,2019-06-12,2019-06-14
37º Congreso Argentino de Obstetricia y Ginecología - SOGIBA,CONGRESOS Y CONVENCIONES,2019-06-12,2019-06-14
156º La Revolución Móvil,CONGRESOS Y CONVENCIONES,2019-06-12,2019-06-13
Encuentro sobre Estrategias Ambientales,CONGRESOS Y CONVENCIONES,2019-06-12,2019-06-12
5º Foro InverTUR,CONGRESOS Y CONVENCIONES,2019-06-12,2019-06-12
XI Jornadas Rioplatenses de Tributación,CONGRESOS Y CONVENCIONES,2019-06-13,2019-06-14
Forum Iberoamericano de Neurociencia Cognitiva,CONGRESOS Y CONVENCIONES,2019-06-13,2019-06-14
Coloquio de Investigación Educativa en Argentina,CONGRESOS Y CONVENCIONES,2019-06-13,2019-06-14
Conferencias Internacionales de Veterinaria Equina,CONGRESOS Y CONVENCIONES,2019-06-13,2019-06-14
25ª Jornadas Científicas de la Magistratura Argentina,CONGRESOS Y CONVENCIONES,2019-06-13,2019-06-14
3º Congreso de Gestión de Activos y ​Mantenimiento,CONGRESOS Y CONVENCIONES,2019-06-13,2019-06-14
Congreso del Instituto Argentino de Ejecutivos de Finanzas,CONGRESOS Y CONVENCIONES,2019-06-13,2019-06-13
Encuentro Anual FAPLA,CONGRESOS Y CONVENCIONES,2019-06-13,2019-06-13
7º Simposio Argentino Jurásico,CONGRESOS Y CONVENCIONES,2019-06-14,2019-06-16
4° Congreso Internacional e Interdisciplinario Argentino de Disfagia y Trastornos Deglutorios,CONGRESOS Y CONVENCIONES,2019-06-14,2019-06-15
Jornada de Dolor en Neurocirugía,CONGRESOS Y CONVENCIONES,2019-06-14,2019-06-14
4ª Jornada Porteña de Radiología,CONGRESOS Y CONVENCIONES,2019-06-15,2019-06-15
20x20 annual meeting,CONGRESOS Y CONVENCIONES,2019-06-18,2019-06-19
XIV Jornadas Internacionales de Coloproctología del Hospital Británico de Buenos Aires,CONGRESOS Y CONVENCIONES,2019-06-19,2019-06-19
XVII Latin American Thyroid Society Congress  17 Congreso Latinoamericano de la Sociedad de Tiroides,CONGRESOS Y CONVENCIONES,2019-06-20,2019-06-23
3ª Jornada Internacional Sobre India,CONGRESOS Y CONVENCIONES,2019-06-20,2019-06-21
Congreso de Jóvenes de Colectividades,CONGRESOS Y CONVENCIONES,2019-06-22,2019-06-23
Jornada La Tecnología y las Artes Audiovisuales,CONGRESOS Y CONVENCIONES,2019-06-22,2019-06-22
Conferencia Regional Interamericana de la ISP - IAMRECON,CONGRESOS Y CONVENCIONES,2019-06-24,2019-06-28
Escuela Latinoamericana de Defensores,CONGRESOS Y CONVENCIONES,2019-06-24,2019-06-28
Coloquio Metropolitano de Control Interno,CONGRESOS Y CONVENCIONES,2019-06-24,2019-06-24
Jornadas de Derecho Administrativo 2019,CONGRESOS Y CONVENCIONES,2019-06-24,2019-06-24
XIX Congreso Argentino de Educación Médica 2019 CAEM,CONGRESOS Y CONVENCIONES,2019-06-25,2019-06-27
IPG 2019  ASME International Pipeline Geotechnical Conference,CONGRESOS Y CONVENCIONES,2019-06-25,2019-06-27
Asamblea General de la Asociación Latino Americana de Ortodoncia (en el marco del VIII CIOR),CONGRESOS Y CONVENCIONES,2019-06-26,2019-06-29
VIII CIOR Congreso Internacional de Ortodoncia,CONGRESOS Y CONVENCIONES,2019-06-26,2019-06-29
1º Congreso Internacional de Ortodoncia con Alineadores. en conjunto con el VIII Congreso Internacional de Ortodoncia,CONGRESOS Y CONVENCIONES,2019-06-26,2019-06-29
89° Reunión ARPEL a Nivel de Expertos (RANE),CONGRESOS Y CONVENCIONES,2019-06-26,2019-06-27
Conferencia Confiarse 2019,CONGRESOS Y CONVENCIONES,2019-06-26,2019-06-26
Reinventando Argentina Summit,CONGRESOS Y CONVENCIONES,2019-06-26,2019-06-26
Jornadas INEBA,CONGRESOS Y CONVENCIONES,2019-06-26,2019-06-26
Seminario Internacional de Seguros de Vida y Retiro,CONGRESOS Y CONVENCIONES,2019-06-26,2019-06-26
Seminario de Federalismo Fiscal,CONGRESOS Y CONVENCIONES,2019-06-26,2019-06-26
Simposio IMPERA 2019,CONGRESOS Y CONVENCIONES,2019-06-26,2019-06-26
Jornada doctoral Franco-Argentina,CONGRESOS Y CONVENCIONES,2019-06-26,2019-06-26
XX Congreso Argentino de Hepatología,CONGRESOS Y CONVENCIONES,2019-06-27,2019-06-29
Congreso Internacional de Derecho Informático,CONGRESOS Y CONVENCIONES,2019-06-27,2019-06-28
Latam Economic Forum,CONGRESOS Y CONVENCIONES,2019-06-27,2019-06-27
ExpoPyme 2019,FERIAS Y EXPOSICIONES,2019-06-27,2019-06-27
Cumbre Cultural de las Américas,CONGRESOS Y CONVENCIONES,2019-06-28,2019-06-29
45ª Jornadas de Actualización en Terapéutica y Clínica Dermatológica,CONGRESOS Y CONVENCIONES,2019-06-28,2019-06-29
Expo Empleo Joven,FERIAS Y EXPOSICIONES,2019-06-28,2019-06-29
Ciclo de Jornadas de Ciencias del Deporte,CONGRESOS Y CONVENCIONES,2019-06-28,2019-06-28
Jornadas Internacionales de Nutrición para las Actividades Físicas y el Deporte,CONGRESOS Y CONVENCIONES,2019-06-28,2019-06-28
1º Foro Internacional de Derechos de las Familias y Sucesiones,CONGRESOS Y CONVENCIONES,2019-06-28,2019-06-28
Expo Veterinarias y Pet Shop 2019,FERIAS Y EXPOSICIONES,2019-06-29,2019-06-30
Jornadas Universitarias Nacionales de Clínica Sistémica,CONGRESOS Y CONVENCIONES,2019-06-29,2019-06-29
2ª Feria Inmobiliaria: Ubicarte,FERIAS Y EXPOSICIONES,2019-06-29,2019-06-29
"2019 LAS/ANS Symposium  
Symposium of the Latin American Section of the American Nuclear Society",CONGRESOS Y CONVENCIONES,2019-07-01,2019-07-04
15° Curso Internacional de Infecciones Respiratorias,CONGRESOS Y CONVENCIONES,2019-07-01,2019-07-01
FITECMA 2019  14º Feria Internacional de la Industria de la Madera y Tecnología,FERIAS Y EXPOSICIONES,2019-07-02,2019-07-06
"2ª Jornadas de Turismo Rural, Patrimonio y Territorio",CONGRESOS Y CONVENCIONES,2019-07-02,2019-07-03
Conferencia Nacional sobre Políticas de Drogas,CONGRESOS Y CONVENCIONES,2019-07-02,2019-07-02
Foro IT Seguros 2019,CONGRESOS Y CONVENCIONES,2019-07-02,2019-07-02
50th International Annual Meeting of the Society for  Psychotherapy Research SPR,CONGRESOS Y CONVENCIONES,2019-07-03,2019-07-07
Jornadas Internacionales de Estudio Social del Humor y lo Cómico,CONGRESOS Y CONVENCIONES,2019-07-03,2019-07-05
Encuentro Anual ACDE,CONGRESOS Y CONVENCIONES,2019-07-03,2019-07-03
Simposio Multidisciplinario SAUMB 2019,CONGRESOS Y CONVENCIONES,2019-07-04,2019-07-06
Encuentro de Endocrinólogos,CONGRESOS Y CONVENCIONES,2019-07-04,2019-07-05
Coloquio El Futuro de la Edición 2019 Colloquium The Future of Publishing,CONGRESOS Y CONVENCIONES,2019-07-04,2019-07-05
Jornada Actualización en Evaluación de Tecnologías Sanitarias Hospitalaria,CONGRESOS Y CONVENCIONES,2019-07-04,2019-07-04
Caminos y Sabores 2019,FERIAS Y EXPOSICIONES,2019-07-06,2019-07-09
Encuentro Nacional de Mujeres Radicales,CONGRESOS Y CONVENCIONES,2019-07-06,2019-07-07
Reunión Invernal de la Sociedad Argentina de Patología 2019,CONGRESOS Y CONVENCIONES,2019-07-06,2019-07-06
"27th International Conference on Statistical Physics, StatPhys 27",CONGRESOS Y CONVENCIONES,2019-07-08,2019-07-12
3º Simposio de la Sección de Estudios del Cono Sur (LASA) 2019,CONGRESOS Y CONVENCIONES,2019-07-10,2019-07-13
Made in the Americas 2019 Global Digital Services Summit,CONGRESOS Y CONVENCIONES,2019-07-10,2019-07-12
IV ”Coloquio internacional sobre patrimonio cultural portuario”,CONGRESOS Y CONVENCIONES,2019-07-10,2019-07-11
1º Simposio Latinoamericano de Bioeconomía,CONGRESOS Y CONVENCIONES,2019-07-10,2019-07-10
IV Curso Latinoamericano de Qigong para la Salud Buenos Aires 2019,CONGRESOS Y CONVENCIONES,2019-07-11,2019-07-13
6ª Jornadas Internacionales de Hermenéutica,CONGRESOS Y CONVENCIONES,2019-07-11,2019-07-12
Taller Nacional de Seguridad Y Medio Ambiente en Puertos,CONGRESOS Y CONVENCIONES,2019-07-11,2019-07-11
3ª Jornada de Eficiencia Energética,CONGRESOS Y CONVENCIONES,2019-07-11,2019-07-11
"9ª Jornada de Divulgación Científica de las Ciencias de la Tierra, Mar y Atmósfera",CONGRESOS Y CONVENCIONES,2019-07-11,2019-07-11
Expo Celíaca,FERIAS Y EXPOSICIONES,2019-07-13,2019-07-14
1º Encuentro Internacional de Arte y Pensamiento sobre Animalidad,CONGRESOS Y CONVENCIONES,2019-07-13,2019-07-13
The 15th Internacional Conference on the Dark Side of the Universe,CONGRESOS Y CONVENCIONES,2019-07-15,2019-07-19
Congreso Internacional de Estudios Bíblicos,CONGRESOS Y CONVENCIONES,2019-07-16,2019-07-19
83º Congreso Internacional de la Sociedad Dante Alighieri  Congresso della Società Dante Alighieri,CONGRESOS Y CONVENCIONES,2019-07-18,2019-07-20
Cachogos,FERIAS Y EXPOSICIONES,2019-07-20,2019-08-04
VI CONGRESO DE LA RED ARGENTINA DE SALINIDAD,CONGRESOS Y CONVENCIONES,2019-07-22,2019-07-25
"133ª Exposición Rural. Exposición de Ganadería, Agricultura e Industria Internacional.",FERIAS Y EXPOSICIONES,2019-07-24,2019-08-04
15th South American Business Forum - SABF 2019,CONGRESOS Y CONVENCIONES,2019-07-25,2019-07-27
Expo Innova 2019 y Fecotel 2019,FERIAS Y EXPOSICIONES,2019-07-25,2019-07-25
Magic Meeting,CONGRESOS Y CONVENCIONES,2019-07-27,2019-07-28
8TH International Symposium of Environmental Physiology of Ectotherms and Plants (ISEPEP),CONGRESOS Y CONVENCIONES,2019-07-29,2019-08-02
14º Encuentro Latinoamericano de Diseño,CONGRESOS Y CONVENCIONES,2019-07-29,2019-08-02
12ª Conferencia Internacional de Liderazgo y Turismo LGBT GNETWORK360,CONGRESOS Y CONVENCIONES,2019-07-30,2019-08-02
28º Congreso Internacional de Teatro Iberoamericano y Argentino GETEA,CONGRESOS Y CONVENCIONES,2019-07-30,2019-08-02
"2ª Jornadas Internacionales ""Cuerpo y violencia en la literatura y las artes visuales contemporáneas""",CONGRESOS Y CONVENCIONES,2019-07-30,2019-08-02
IV Jornadas de Jóvenes Lingüistas,CONGRESOS Y CONVENCIONES,2019-07-31,2019-08-02
3º Congreso Latinoamericano de Teoría Social,CONGRESOS Y CONVENCIONES,2019-07-31,2019-08-02
8º Workshop On Philosophical Logic,CONGRESOS Y CONVENCIONES,2019-07-31,2019-08-02
Congreso Internacional de Psicología,CONGRESOS Y CONVENCIONES,2019-08-01,2019-08-08
Congreso Internacional de Medicina y Cirugía Cosmética,CONGRESOS Y CONVENCIONES,2019-08-01,2019-08-03
5ª Jornadas Interdisciplinarias de Jóvenes Investigadores de la Antigüedad Grecolatina (JIJIAG),CONGRESOS Y CONVENCIONES,2019-08-01,2019-08-03
Feria de Editores 2019,FERIAS Y EXPOSICIONES,2019-08-02,2019-08-04
Jornada de Actualización de la Asociación de Psicofarmacología y Neurociencia Argentina,CONGRESOS Y CONVENCIONES,2019-08-02,2019-08-03
Cumbre de Creatividad y Tendencias,CONGRESOS Y CONVENCIONES,2019-08-02,2019-08-02
IX Reunión RELACSIS  Red Latinoamericana y del Caribe para el Fortalecimiento de los Sistemas de Salud,CONGRESOS Y CONVENCIONES,2019-08-05,2019-08-07
Expo Romántica,FERIAS Y EXPOSICIONES,2019-08-06,2019-08-09
Foro Nacional de Porfolios,CONGRESOS Y CONVENCIONES,2019-08-06,2019-08-08
3ª Jornadas de Innovación Tecnológica,CONGRESOS Y CONVENCIONES,2019-08-06,2019-08-07
Innovation Day,CONGRESOS Y CONVENCIONES,2019-08-06,2019-08-06
1º Encuentro FASO - Fesormex,CONGRESOS Y CONVENCIONES,2019-08-07,2019-08-09
XI Escuela Santaló 2019,CONGRESOS Y CONVENCIONES,2019-08-07,2019-08-09
14° Congreso Nacional de Estudios del Trabajo,CONGRESOS Y CONVENCIONES,2019-08-07,2019-08-09
SEOday,CONGRESOS Y CONVENCIONES,2019-08-07,2019-08-07
Expo Sign 18ª Exposición Internacional de Comunicación Visual,FERIAS Y EXPOSICIONES,2019-08-08,2019-08-10
Jornadas Internacionales de Derecho Aduanero,CONGRESOS Y CONVENCIONES,2019-08-08,2019-08-09
2º Symposium Internacional de Dermatología CILAD 2019,CONGRESOS Y CONVENCIONES,2019-08-08,2019-08-09
"XVI Congreso Nacional de Psicologia Forense  XXX Jornadas Nacionales de Psicología Forense 
XXIX Jornadas de APFRA",CONGRESOS Y CONVENCIONES,2019-08-08,2019-08-09
3º Congreso de Coaching Educativo,CONGRESOS Y CONVENCIONES,2019-08-08,2019-08-09
12º Congreso Nacional de la Asociación Argentina de Ginecología Oncológica - AAGO,CONGRESOS Y CONVENCIONES,2019-08-08,2019-08-09
16º Encuentro de Protagonistas,CONGRESOS Y CONVENCIONES,2019-08-08,2019-08-08
8ª Conferencia de enfermedades Intersticiales y Autoinmunes,CONGRESOS Y CONVENCIONES,2019-08-09,2019-08-10
II Congreso Internacional Witold Gombrowicz,CONGRESOS Y CONVENCIONES,2019-08-12,2019-08-18
Expo Estrategas 2019,FERIAS Y EXPOSICIONES,2019-08-12,2019-08-13
2º Congreso AADYND de Nutrición y Alimentación,CONGRESOS Y CONVENCIONES,2019-08-13,2019-08-15
Reunion y Seminario ATDL 2019,CONGRESOS Y CONVENCIONES,2019-08-14,2019-08-16
Pulso IT 2019,FERIAS Y EXPOSICIONES,2019-08-14,2019-08-15
Cumbre internacional de Jóvenes Líderes,CONGRESOS Y CONVENCIONES,2019-08-14,2019-08-14
2º Simposio de Medicina Antiage,CONGRESOS Y CONVENCIONES,2019-08-15,2019-08-17
