año;sector;subsector;valor;;;;;;;;;;;;;;;;;;;;;;
2011;Energía;Edificios e instalaciones comerciales; 2.132.049 ;;;;;;;;;;;;;;;;;;;;;;
2012;Energía;Edificios e instalaciones comerciales; 2.292.356 ;;;;;;;;;;;;;;;;;;;;;;
2013;Energía;Edificios e instalaciones comerciales; 2.134.274 ;;;;;;;;;;;;;;;;;;;;;;
2014;Energía;Edificios e instalaciones comerciales; 2.125.074 ;;;;;;;;;;;;;;;;;;;;;;
2015;Energía;Edificios e instalaciones comerciales; 2.193.182 ;;;;;;;;;;;;;;;;;;;;;;
2016;Energía;Edificios e instalaciones comerciales; 2.101.701 ;;;;;;;;;;;;;;;;;;;;;;
2017;Energía;Edificios e instalaciones comerciales; 1.857.374 ;;;;;;;;;;;;;;;;;;;;;;
2018;Energía;Edificios e instalaciones comerciales; 1.661.254 ;;;;;;;;;;;;;;;;;;;;;;
2019;Energía;Edificios e instalaciones comerciales; 1.542.227 ;;;;;;;;;;;;;;;;;;;;;;
2020;Energía;Edificios e instalaciones comerciales; 1.252.955 ;;;;;;;;;;;;;;;;;;;;;;
2021;Energía;Edificios e instalaciones comerciales; 1.430.781 ;;;;;;;;;;;;;;;;;;;;;;
2022;Energía;Edificios e instalaciones comerciales; 1.473.422 ;;;;;;;;;;;;;;;;;;;;;;
2023;Energía;Edificios e instalaciones comerciales; 1.383.822 ;;;;;;;;;;;;;;;;;;;;;;
2000;Energía;Edificios e instalaciones institucionales; 312.242 ;;;;;;;;;;;;;;;;;;;;;;
2001;Energía;Edificios e instalaciones institucionales; 252.824 ;;;;;;;;;;;;;;;;;;;;;;
2002;Energía;Edificios e instalaciones institucionales; 245.682 ;;;;;;;;;;;;;;;;;;;;;;
2003;Energía;Edificios e instalaciones institucionales; 352.145 ;;;;;;;;;;;;;;;;;;;;;;
2004;Energía;Edificios e instalaciones institucionales; 439.741 ;;;;;;;;;;;;;;;;;;;;;;
2005;Energía;Edificios e instalaciones institucionales; 487.126 ;;;;;;;;;;;;;;;;;;;;;;
2006;Energía;Edificios e instalaciones institucionales; 529.496 ;;;;;;;;;;;;;;;;;;;;;;
2007;Energía;Edificios e instalaciones institucionales; 588.109 ;;;;;;;;;;;;;;;;;;;;;;
2008;Energía;Edificios e instalaciones institucionales; 655.595 ;;;;;;;;;;;;;;;;;;;;;;
2009;Energía;Edificios e instalaciones institucionales; 611.722 ;;;;;;;;;;;;;;;;;;;;;;
2010;Energía;Edificios e instalaciones institucionales; 635.487 ;;;;;;;;;;;;;;;;;;;;;;
2011;Energía;Edificios e instalaciones institucionales; 704.023 ;;;;;;;;;;;;;;;;;;;;;;
2012;Energía;Edificios e instalaciones institucionales; 705.575 ;;;;;;;;;;;;;;;;;;;;;;
2013;Energía;Edificios e instalaciones institucionales; 744.682 ;;;;;;;;;;;;;;;;;;;;;;
2014;Energía;Edificios e instalaciones institucionales; 733.784 ;;;;;;;;;;;;;;;;;;;;;;
2015;Energía;Edificios e instalaciones institucionales; 705.966 ;;;;;;;;;;;;;;;;;;;;;;
2016;Energía;Edificios e instalaciones institucionales; 699.310 ;;;;;;;;;;;;;;;;;;;;;;
2017;Energía;Edificios e instalaciones institucionales; 700.154 ;;;;;;;;;;;;;;;;;;;;;;
2018;Energía;Edificios e instalaciones institucionales; 633.222 ;;;;;;;;;;;;;;;;;;;;;;
2019;Energía;Edificios e instalaciones institucionales; 536.905 ;;;;;;;;;;;;;;;;;;;;;;
2020;Energía;Edificios e instalaciones institucionales; 449.495 ;;;;;;;;;;;;;;;;;;;;;;
2021;Energía;Edificios e instalaciones institucionales; 587.805 ;;;;;;;;;;;;;;;;;;;;;;
2022;Energía;Edificios e instalaciones institucionales; 604.120 ;;;;;;;;;;;;;;;;;;;;;;
2023;Energía;Edificios e instalaciones institucionales; 515.200 ;;;;;;;;;;;;;;;;;;;;;;
2000;Energía;Edificios residenciales; 3.355.396 ;;;;;;;;;;;;;;;;;;;;;;
2001;Energía;Edificios residenciales; 3.013.373 ;;;;;;;;;;;;;;;;;;;;;;
2002;Energía;Edificios residenciales; 2.912.337 ;;;;;;;;;;;;;;;;;;;;;;
2003;Energía;Edificios residenciales; 3.088.588 ;;;;;;;;;;;;;;;;;;;;;;
2004;Energía;Edificios residenciales; 3.191.117 ;;;;;;;;;;;;;;;;;;;;;;
2005;Energía;Edificios residenciales; 3.276.018 ;;;;;;;;;;;;;;;;;;;;;;
2006;Energía;Edificios residenciales; 3.223.137 ;;;;;;;;;;;;;;;;;;;;;;
2007;Energía;Edificios residenciales; 3.821.599 ;;;;;;;;;;;;;;;;;;;;;;
2008;Energía;Edificios residenciales; 3.705.159 ;;;;;;;;;;;;;;;;;;;;;;
2009;Energía;Edificios residenciales; 3.650.365 ;;;;;;;;;;;;;;;;;;;;;;
