ID,SubmissionDate,start,end,today,personas-n_personas,pais-pais_origen,pais-provincia,pais-pais_otro,noches_ciudad-noches,informacion_group-info,informacion_group-info_otro,telefonia-servicios_telefonicos,telefonia-empresa_otro,discapacidad-discapacidad,meta-instanceID,KEY,SubmitterID,SubmitterName,Status
1147,2020-02-23T15:01:27.361Z,2020-02-23T10:12:01.940-03:00,2020-02-23T10:12:19.248-03:00,23/02/2020,5,Argentina,Santa_Fe,,,Orientación Bus_Turístico Mapas_Ciudad,,,,No,uuid:dc79359d-cd60-4432-b5d8-a5068888f128,uuid:dc79359d-cd60-4432-b5d8-a5068888f128,70,Casco Histórico,
1148,2020-02-23T15:01:27.889Z,2020-02-23T10:19:00.307-03:00,2020-02-23T10:19:13.409-03:00,23/02/2020,4,Argentina,Catamarca,,5,Mapas_Ciudad Orientación,,,,No,uuid:578defad-7290-49be-b859-1e8b0770f6fe,uuid:578defad-7290-49be-b859-1e8b0770f6fe,70,Casco Histórico,
1149,2020-02-23T15:01:28.405Z,2020-02-23T10:19:42.548-03:00,2020-02-23T10:20:19.529-03:00,23/02/2020,2,Argentina,Córdoba,,4,Museos Orientación,,,,No,uuid:56cfecc8-db4d-4a81-922b-2b5f47e4457b,uuid:56cfecc8-db4d-4a81-922b-2b5f47e4457b,70,Casco Histórico,
1150,2020-02-23T15:01:28.919Z,2020-02-23T10:21:05.149-03:00,2020-02-23T10:21:20.583-03:00,23/02/2020,6,Uruguay,,,4,Orientación Mapas_Ciudad Espacios_Verdes,,Ninguna,,No,uuid:c90b5858-ee82-49ca-b71d-af22f84a3119,uuid:c90b5858-ee82-49ca-b71d-af22f84a3119,70,Casco Histórico,
1151,2020-02-23T15:01:29.509Z,2020-02-23T10:22:40.533-03:00,2020-02-23T10:22:52.896-03:00,23/02/2020,2,Brasil,,,4,Orientación Bus_Turístico Mapas_Ciudad,,Ninguna,,No,uuid:b2b72642-b3f7-40da-a54d-5ba7c1d16fe5,uuid:b2b72642-b3f7-40da-a54d-5ba7c1d16fe5,70,Casco Histórico,
1152,2020-02-23T15:01:30.026Z,2020-02-23T10:28:15.005-03:00,2020-02-23T10:28:58.253-03:00,23/02/2020,2,Argentina,Catamarca,,4,Mapas_Ciudad,,,,No,uuid:c03c2c61-1291-4834-af79-68920b90a583,uuid:c03c2c61-1291-4834-af79-68920b90a583,70,Casco Histórico,
1153,2020-02-23T15:01:30.579Z,2020-02-23T10:40:58.167-03:00,2020-02-23T10:41:54.401-03:00,23/02/2020,3,Argentina,Santa_Fe,,5,Orientación Bus_Turístico Mapas_Ciudad Bicicletas,,,,No,uuid:6da403ff-c7a8-4a10-a0a2-ee75b60cd6d2,uuid:6da403ff-c7a8-4a10-a0a2-ee75b60cd6d2,70,Casco Histórico,
1154,2020-02-23T15:01:31.083Z,2020-02-23T10:42:27.395-03:00,2020-02-23T10:42:41.464-03:00,23/02/2020,4,Brasil,,,3,"Cambio,_Banco_&_Cajeros",,Ninguna,,No,uuid:64ba02ac-20c9-4a57-8ae3-75b33f7a20df,uuid:64ba02ac-20c9-4a57-8ae3-75b33f7a20df,70,Casco Histórico,
1155,2020-02-23T15:01:31.610Z,2020-02-23T10:42:45.047-03:00,2020-02-23T10:43:43.957-03:00,23/02/2020,1,Brasil,,,4,Mapas_Ciudad Bus_Turístico Orientación,,Ninguna,,No,uuid:a036b718-95ef-413e-aa18-b01ad420a17c,uuid:a036b718-95ef-413e-aa18-b01ad420a17c,70,Casco Histórico,
1156,2020-02-23T15:01:32.144Z,2020-02-23T10:43:57.328-03:00,2020-02-23T10:45:01.279-03:00,23/02/2020,2,Canadá,,,3,Alojamiento Transporte Bus_Turístico Orientación,,Ninguna,,No,uuid:56324c3e-f475-4964-bc0c-b5dc9ffc70cb,uuid:56324c3e-f475-4964-bc0c-b5dc9ffc70cb,70,Casco Histórico,
